"filename", "language", "Python", "Markdown", "HTML", "JSON", "YAML", "Shell Script", "Log", "C++", "CUDA C++", "comment", "blank", "total"
"/home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu117-Windows.sh", "Shell Script", 0, 0, 0, 0, 0, 11, 0, 0, 0, 4, 4, 19
"/home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu118-Linux-env.sh", "Shell Script", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 3, 9
"/home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu118-Linux.sh", "Shell Script", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 5, 16
"/home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu118-Windows-env.sh", "Shell Script", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 3, 9
"/home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu118-Windows.sh", "Shell Script", 0, 0, 0, 0, 0, 11, 0, 0, 0, 4, 4, 19
"/home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu121-Linux-env.sh", "Shell Script", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 3, 9
"/home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu121-Linux.sh", "Shell Script", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 5, 16
"/home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu121-Windows-env.sh", "Shell Script", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 3, 9
"/home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu121-Windows.sh", "Shell Script", 0, 0, 0, 0, 0, 11, 0, 0, 0, 4, 4, 19
"/home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu124-Linux-env.sh", "Shell Script", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 3, 9
"/home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu124-Linux.sh", "Shell Script", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 5, 16
"/home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu124-Windows-env.sh", "Shell Script", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 3, 9
"/home/winchenbach/dev/torchCompactRadius/.github/workflows/cuda/cu124-Windows.sh", "Shell Script", 0, 0, 0, 0, 0, 11, 0, 0, 0, 4, 4, 19
"/home/winchenbach/dev/torchCompactRadius/Benchmark.ipynb", "JSON", 0, 0, 0, 1244, 0, 0, 0, 0, 0, 0, 1, 1245
"/home/winchenbach/dev/torchCompactRadius/README.md", "Markdown", 0, 142, 0, 0, 0, 0, 0, 0, 0, 24, 59, 225
"/home/winchenbach/dev/torchCompactRadius/bak/buildNeighborhood_mlm.h", "C++", 0, 0, 0, 0, 0, 0, 0, 152, 0, 7, 23, 182
"/home/winchenbach/dev/torchCompactRadius/bak/buildNeighborhood_mlm_cpu.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 43, 0, 3, 9, 55
"/home/winchenbach/dev/torchCompactRadius/bak/buildNeighborhood_mlm_cuda.cu", "CUDA C++", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 4, 23
"/home/winchenbach/dev/torchCompactRadius/bak/countNeighbors_mlm.h", "C++", 0, 0, 0, 0, 0, 0, 0, 140, 0, 60, 29, 229
"/home/winchenbach/dev/torchCompactRadius/bak/countNeighbors_mlm_cpu.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 45, 0, 1, 6, 52
"/home/winchenbach/dev/torchCompactRadius/bak/countNeighbors_mlm_cuda.cu", "CUDA C++", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 4, 23
"/home/winchenbach/dev/torchCompactRadius/bak/mlmUtil.h", "C++", 0, 0, 0, 0, 0, 0, 0, 337, 0, 21, 34, 392
"/home/winchenbach/dev/torchCompactRadius/build.sh", "Shell Script", 0, 0, 0, 0, 0, 44, 0, 0, 0, 8, 11, 63
"/home/winchenbach/dev/torchCompactRadius/build2.sh", "Shell Script", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 7, 22
"/home/winchenbach/dev/torchCompactRadius/conda/torchCompactRadius/README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/winchenbach/dev/torchCompactRadius/conda/torchCompactRadius/build_conda.sh", "Shell Script", 0, 0, 0, 0, 0, 56, 0, 0, 0, 1, 6, 63
"/home/winchenbach/dev/torchCompactRadius/conda/torchCompactRadius/meta.yaml", "YAML", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 8, 41
"/home/winchenbach/dev/torchCompactRadius/dsl.py", "Python", 142, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37, 182
"/home/winchenbach/dev/torchCompactRadius/dynamo.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/winchenbach/dev/torchCompactRadius/env.sh", "Shell Script", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/home/winchenbach/dev/torchCompactRadius/genhtmls.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 21
"/home/winchenbach/dev/torchCompactRadius/index.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/winchenbach/dev/torchCompactRadius/scripts/benchmark.py", "Python", 139, 0, 0, 0, 0, 0, 0, 0, 0, 43, 44, 226
"/home/winchenbach/dev/torchCompactRadius/scripts/demo.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 39
"/home/winchenbach/dev/torchCompactRadius/scripts/test copy.py", "Python", 162, 0, 0, 0, 0, 0, 0, 0, 0, 53, 27, 242
"/home/winchenbach/dev/torchCompactRadius/scripts/test.py", "Python", 191, 0, 0, 0, 0, 0, 0, 0, 0, 19, 26, 236
"/home/winchenbach/dev/torchCompactRadius/setup.py", "Python", 122, 0, 0, 0, 0, 0, 0, 0, 0, 15, 26, 163
"/home/winchenbach/dev/torchCompactRadius/setup_envs.sh", "Shell Script", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
"/home/winchenbach/dev/torchCompactRadius/src/torchCompactRadius/__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/winchenbach/dev/torchCompactRadius/src/torchCompactRadius/compactHashing/cellTable.py", "Python", 66, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 81
"/home/winchenbach/dev/torchCompactRadius/src/torchCompactRadius/compactHashing/cppSearch.py", "Python", 200, 0, 0, 0, 0, 0, 0, 0, 0, 80, 20, 300
"/home/winchenbach/dev/torchCompactRadius/src/torchCompactRadius/compactHashing/cppWrapper.py", "Python", 53, 0, 0, 0, 0, 0, 0, 0, 0, 22, 13, 88
"/home/winchenbach/dev/torchCompactRadius/src/torchCompactRadius/compactHashing/datastructure.py", "Python", 86, 0, 0, 0, 0, 0, 0, 0, 0, 22, 22, 130
"/home/winchenbach/dev/torchCompactRadius/src/torchCompactRadius/compactHashing/hashTable.py", "Python", 90, 0, 0, 0, 0, 0, 0, 0, 0, 39, 26, 155
"/home/winchenbach/dev/torchCompactRadius/src/torchCompactRadius/compiler.py", "Python", 189, 0, 0, 0, 0, 0, 0, 0, 0, 51, 40, 280
"/home/winchenbach/dev/torchCompactRadius/src/torchCompactRadius/cppSrc/common.h", "C++", 0, 0, 0, 0, 0, 0, 0, 88, 0, 42, 11, 141
"/home/winchenbach/dev/torchCompactRadius/src/torchCompactRadius/cppSrc/cppWrapper.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 42, 0, 10, 10, 62
"/home/winchenbach/dev/torchCompactRadius/src/torchCompactRadius/cppSrc/hashing.h", "C++", 0, 0, 0, 0, 0, 0, 0, 25, 0, 10, 4, 39
"/home/winchenbach/dev/torchCompactRadius/src/torchCompactRadius/cppSrc/hashing_cpu.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 47, 0, 5, 6, 58
"/home/winchenbach/dev/torchCompactRadius/src/torchCompactRadius/cppSrc/hashing_cuda.cu", "CUDA C++", 0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 6, 43
"/home/winchenbach/dev/torchCompactRadius/src/torchCompactRadius/cppSrc/multiLevelMemory/buildNeighborhoodDense.h", "C++", 0, 0, 0, 0, 0, 0, 0, 66, 0, 45, 8, 119
"/home/winchenbach/dev/torchCompactRadius/src/torchCompactRadius/cppSrc/multiLevelMemory/buildNeighborhoodDense_cpu.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 36, 0, 3, 10, 49
"/home/winchenbach/dev/torchCompactRadius/src/torchCompactRadius/cppSrc/multiLevelMemory/buildNeighborhoodDense_cuda.cu", "CUDA C++", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 4, 16
"/home/winchenbach/dev/torchCompactRadius/src/torchCompactRadius/cppSrc/multiLevelMemory/buildNeighborhoodHashmap.h", "C++", 0, 0, 0, 0, 0, 0, 0, 70, 0, 50, 9, 129
"/home/winchenbach/dev/torchCompactRadius/src/torchCompactRadius/cppSrc/multiLevelMemory/buildNeighborhoodHashmap_cpu.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 36, 0, 3, 10, 49
"/home/winchenbach/dev/torchCompactRadius/src/torchCompactRadius/cppSrc/multiLevelMemory/buildNeighborhoodHashmap_cuda.cu", "CUDA C++", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 4, 16
"/home/winchenbach/dev/torchCompactRadius/src/torchCompactRadius/cppSrc/multiLevelMemory/countNeighborsDense.h", "C++", 0, 0, 0, 0, 0, 0, 0, 63, 0, 44, 12, 119
"/home/winchenbach/dev/torchCompactRadius/src/torchCompactRadius/cppSrc/multiLevelMemory/countNeighborsDense_cpu.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 39, 0, 1, 7, 47
"/home/winchenbach/dev/torchCompactRadius/src/torchCompactRadius/cppSrc/multiLevelMemory/countNeighborsDense_cuda.cu", "CUDA C++", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 4, 16
"/home/winchenbach/dev/torchCompactRadius/src/torchCompactRadius/cppSrc/multiLevelMemory/countNeighborsHashmap.h", "C++", 0, 0, 0, 0, 0, 0, 0, 66, 0, 48, 11, 125
"/home/winchenbach/dev/torchCompactRadius/src/torchCompactRadius/cppSrc/multiLevelMemory/countNeighborsHashmap_cpu.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 39, 0, 1, 7, 47
"/home/winchenbach/dev/torchCompactRadius/src/torchCompactRadius/cppSrc/multiLevelMemory/countNeighborsHashmap_cuda.cu", "CUDA C++", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 4, 16
